,preco_1,preco_2,endereco_1,endereco_2,descricao,attr1,attr2,attr3,attr4,attr5
321,R$ 630,R$ 665/mês,Cidade Universitária,"Cidade Universitária 01 - Próximo ao Colégio Rio BRanco

Suítes mobiliadas com frigobar, armário, cama soleiro sem colchão destinada apenas para locaçao para UNIVERSITÁRIOS. 

Cozinha de uso coletivo para as 9 unidades do local. 
Inclui no valor da locação IPTU, energia elétrica, internet, água; 

Lavanderia de uso coletivo com máquina.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,13m²,not found
322,R$ 680,R$ 715/mês,Cidade Universitária,"Cidade Universitária 01 - Próximo ao Colégio Rio BRanco

Suítes mobiliadas com frigobar, armário, cama soleiro sem colchão destinada apenas para locaçao para UNIVERSITÁRIOS. 

Cozinha de uso coletivo para as 9 unidades do local. 
Inclui no valor da locação IPTU, energia elétrica, internet, água; 

Lavanderia de uso coletivo com máquina.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,13m²,not found
323,R$ 1.000,R$ 1.045/mês,Parque Ceasa,"Parque Ceasa - Barão Geraldo - Campinas -SP

Casa de fundos com entrada dependente,  1 dormitório;
Sala, cozinha com gabinete, banheiro e lavanderia.

Vaga para 1 veículo
IPTU incluso
Água e energia divisão 50%. -",Casa em Campinas,1quarto,1banheiro ,1vaga,40m²,not found
324,R$ 1.000,R$ 1.045/mês,Parque Ceasa,"Parque Ceasa - Barão Geraldo - Campinas -SP

Casa de fundos com entrada dependente,  1 dormitório;
Sala, cozinha com gabinete, banheiro e lavanderia.
Escritório ou quarto reversível.

Vaga para 1 veículo
IPTU incluso
Água e energia divisão 50%. -",Casa em Campinas,1quarto,1banheiro ,1vaga,2m²,not found
325,R$ 1.600,R$ 2.010/mês,Cidade Universitária,"Kitnet duplex completa, linda e bem localizada - Alto padrão

Na Av. 03 - próximo a Unicamp

Possui quarto com armário embutido e ar condicionado, escrivaninha e cadeira
Cozinha americana com armários, geladeira, fogão e microondas.
Lavanderia individual com máquina de 6kg
Pequena e aconchegante sala com sofá e TV
Banheiro com box de vidro
Sacada

Condomínio inclui: água, gás, IPTU, TV a cabo, limpeza e manutenção das áreas externas.
Luz individual.

Internet individual por kitnet

1 vaga de garagem

Agende uma visita!",Kitnet em Campinas,1quarto,1banheiro ,32m²,not found,not found
326,R$ 8.500,R$ 10.421/mês,Cidade Universitária,"Cidade Universitaria 02 - Próximo Centro Médico de Barão Geraldo

Casa com 2380 m² de terreno - 564 m² de construção;
São 13 dormitórios (sendo 2 suítes);
7 banheiros - todos atualizados com box de vidro;
Sala de estar, jantar, TV e lareira;
Vaga coberta para 6 autos, e 10 descobertas;
Piscina, churrasqueira, amplo quintal.
Cozinha com armários.
Lavanderia externa e coberta.
Árvores frutíferas
IPTU: valor por mês
Água e energia: individuais;",Casa em Campinas,13quartos,2suítes,7banheiros,16vagas,564m²
327,R$ 6.000,"R$ 6.814,40/mês",Cidade Universitária,"Cidade Universitária 01
Muito próximo da Unicamp!

Opçao de casa muito ampla com 300m² de construção, num terreno de 850m²; 
Predominantemente térrea com 4 dormitórios com armários (sendo 1 suite), dormitório de serviço com banheiro, cozinha ampla, com despensa e armários, lavanderia interna e coberta. 
Sala bem grande. Ante-sala com lavabo. 
ONde era a garagem foi fechada e virou mais um cômodo grande, reversível a qualquer atividade. 
Amplo espaço gramado. 
IPTU: valor por mes, por conta locatários. 
Energia elétrica e agua: individuais, por conta locatários.",Casa em Campinas,5quartos,2suítes,4banheiros,5vagas,301m²
328,R$ 1.300,R$ 1.570/mês,Jardim Santa Genebra II (Barão Geraldo),"Próximo ao terminal de Barão Geraldo.

Kitnet mobiliada com geladeira, cooktop, micro-ondas, armários na cozinha, guarda roupa, ar condicionado, televisão e cama.
Banheiro com box de vidro.
Quintal pequeno.

Rateio inclui: internet, água, IPTU, gás, manutenções de áreas externas, lavanderia coletiva,
Energia individual locatário.
Vaga de garagem: locada a parte conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,"17,73m²",not found,not found
329,R$ 5.800,"R$ 6.692,14/mês",Cidade Universitária,"Cidade Universitária I - Barão Geraldo - Campinas - SP

Imóvel localizado bem próximo a Unicamp, região da Av 2.
Casa com 316 m² de construção, em terreno de 900m², com muita área verde. São até 9 dormitórios, sendo 5 com armários embutidos, 2 suítes, 6 banheiros no total.
Sala de estar ampla, com acesso ao quintal e pé direto alto; sala de jantar; sala de tv;
Cozinha com gabinete e despensa;
Sala no 1º andar com varanda, pode ser um dormitório.
Vagas de garagem para até 6 veículos, sendo 4 cobertas.
2 lavanderias, 1 dentro da casa e outra em edícula externa.",Casa em Campinas,9quartos,2suítes,6banheiros,6vagas,"316,43m²"
330,R$ 3.500,"R$ 3.792,70/mês",Barão Geraldo,"Centro de Barão Geraldo - Campinas - SP

Salão comercial localizado em rua paralela a Av Santa Isabel, região central de Barão Geraldo.
Imóvel reformado com 84m², área para copa/ recepção; 
Salão amplo com jardim e ar condicionado; 2 salas privativas com ar condicionado, 1 com banheiro privativo.
2 banheiros sociais.",Salão em Campinas,3banheiros,2vagas,84m²,not found,not found
331,R$ 3.000,R$ 3.359/mês,Jardim Santa Genebra II (Barão Geraldo),"Jardim Santa Genebra 2 - Barão Geraldo - Campinas SP

Imóvel em localização privilegiada em Barão Geraldo,  em zona Mista ( zoneamento Comercial ZM1-B BG, ou Residencial), em rua adjacente a Av Romeu Tórtima ( popular Av 1)
Casa de fundos independente, com 3 dormitórios, sala de estar com divisória (opção de retirar), cozinha, lavanderia, sala com vidro,
Vaga de garagem para até 5 carros
Energia e água são despesas individuais.",Casa em Campinas,3quartos,2banheiros,5vagas,"164,30m²",not found
332,R$ 2.700,R$ 2.835/mês,Cidade Universitária,"Cidade Universitária 01

Excelente opção bem em frente a Unicamp - Praça da Paz / Reitoria / Área de Saúde. 

Kitnet com divisória da cozinha para dormitório, térrea, construída em 2021. Toda em piso porcelanato, armários de cozinha. Banheiro bom box de vidro e espelho. Dormitório com ar-condicionado, armário. Todas as esquadrias em alumínio.  Lavanderia individual na kitnet. 
O prédio conta com sistema de segurança comporto por portões eletrônicos, cerca elétrica a volta toda do imóvel. Sistema de vigilância por câmeras.   
Vaga de garagem: locado a parte, conforme disponibilidade. 
Inclui no valor da locação: IPTU, internet, gás, água. 
Energia elétrica: individual, por conta locatários.",Kitnet em Campinas,1quarto,1banheiro ,"37,27m²",not found,not found
333,R$ 2.800,R$ 2.935/mês,Cidade Universitária,"Cidade Universitária 01

Excelente opção bem em frente a Unicamp - Praça da Paz / Reitoria / Área de Saúde. 

Kitnet com divisória da cozinha para dormitório, térrea, construída em 2021. Toda em piso porcelanato, armários de cozinha. Banheiro bom box de vidro e espelho. Dormitório com ar-condicionado, armário. Todas as esquadrias em alumínio.  Lavanderia individual na kitnet. 
O prédio conta com sistema de segurança comporto por portões eletrônicos, cerca elétrica a volta toda do imóvel. Sistema de vigilância por câmeras.   
Vaga de garagem: locado a parte, conforme disponibilidade. 
Inclui no valor da locação: IPTU, internet, gás, água. 
Energia elétrica: individual, por conta locatários.",Kitnet em Campinas,1quarto,1banheiro ,"45,75m²",not found,not found
334,R$ 1.600,R$ 2.010/mês,Cidade Universitária,"Kitnet duplex completa, linda e bem localizada - Alto padrão

Na Av. 03 - próximo a Unicamp

Possui quarto com armário embutido e ar condicionado, escrivaninha e cadeira
Cozinha americana com armários, geladeira, fogão e microondas.
Lavanderia individual com máquina de 6kg
Pequena e aconchegante sala com sofá e TV
Banheiro com box de vidro
Sacada

Condomínio inclui: água, gás, IPTU, TV a cabo, limpeza e manutenção das áreas externas.
Luz individual.

Internet individual por kitnet

1 vaga de garagem

Agende uma visita!",Kitnet em Campinas,1quarto,1banheiro ,32m²,not found,not found
335,R$ 2.600,R$ 2.735/mês,Cidade Universitária,"Cidade Universitária 01

Excelente opção bem em frente a Unicamp - Praça da Paz / Reitoria / Área de Saúde. 

Kitnet com divisória da cozinha para dormitório, 1º andar, construída em 2021. Toda em piso porcelanato, armários de cozinha. Banheiro bom box de vidro e espelho. Dormitório com ar-condicionado, armário. Todas as esquadrias em alumínio.  Lavanderia individual na kitnet. 
O prédio conta com sistema de segurança comporto por portões eletrônicos, cerca elétrica a volta toda do imóvel. Sistema de vigilância por câmeras.   
Vaga de garagem: locado a parte, conforme disponibilidade. 
Inclui no valor da locação: IPTU, internet, gás, água. 
Energia elétrica: individual, por conta locatários.",Kitnet em Campinas,1quarto,1banheiro ,"31,97m²",not found,not found
336,R$ 2.600,R$ 2.735/mês,Cidade Universitária,"Cidade Universitária 01

Excelente opção bem em frente a Unicamp - Praça da Paz / Reitoria / Área de Saúde. 

Kitnet com divisória da cozinha para dormitório, 1º andar, construída em 2021. Toda em piso porcelanato, armários de cozinha. Banheiro bom box de vidro e espelho. Dormitório com ar-condicionado, armário. Todas as esquadrias em alumínio.  Lavanderia individual na kitnet. 
O prédio conta com sistema de segurança comporto por portões eletrônicos, cerca elétrica a volta toda do imóvel. Sistema de vigilância por câmeras.   
Vaga de garagem: locado a parte, conforme disponibilidade. 
Inclui no valor da locação: IPTU, internet, gás, água. 
Energia elétrica: individual, por conta locatários.",Kitnet em Campinas,1quarto,1banheiro ,"28,61m²",not found,not found
337,R$ 2.200,R$ 2.335/mês,Cidade Universitária,"Cidade Universitária 01

Excelente opção bem em frente a Unicamp - Praça da Paz / Reitoria / Área de Saúde. 

Kitnet com divisória da cozinha para dormitório, 1º andar, construída em 2021. Toda em piso porcelanato, armários de cozinha. Banheiro bom box de vidro e espelho. Dormitório com ar-condicionado, armário. Todas as esquadrias em alumínio.  Lavanderia individual na kitnet. 
O prédio conta com sistema de segurança comporto por portões eletrônicos, cerca elétrica a volta toda do imóvel. Sistema de vigilância por câmeras.   
Vaga de garagem: locado a parte, conforme disponibilidade. 
Inclui no valor da locação: IPTU, internet, gás, água. 
Energia elétrica: individual, por conta locatários.",Kitnet em Campinas,1quarto,1banheiro ,"30,18m²",not found,not found
338,R$ 3.000,"R$ 3.389,29/mês",Barão Geraldo,"Imóvel comercial bem localizado

Zoneamento ZM1-B BG

Salão amplo com deck externo
Banheiro feminino, masculino e PNE.
3 vagas de garagem.

Agende uma visita!",Salão em Campinas,3banheiros,90m²,not found,not found,not found
339,R$ 2.200,R$ 2.335/mês,Cidade Universitária,"Cidade Universitária 01

Excelente opção bem em frente a Unicamp - Praça da Paz / Reitoria / Área de Saúde. 

Kitnet com divisória da cozinha para dormitório, 1º andar, construída em 2021. Toda em piso porcelanato, armários de cozinha. Banheiro bom box de vidro e espelho. Dormitório com ar-condicionado, armário. Todas as esquadrias em alumínio.  Lavanderia individual na kitnet. 
O prédio conta com sistema de segurança comporto por portões eletrônicos, cerca elétrica a volta toda do imóvel. Sistema de vigilância por câmeras.   
Vaga de garagem: locado a parte, conforme disponibilidade. 
Inclui no valor da locação: IPTU, internet, gás, água. 
Energia elétrica: individual, por conta locatários.",Kitnet em Campinas,1quarto,1banheiro ,"30,04m²",not found,not found
340,R$ 750,R$ 965/mês,Jardim Santa Genebra II (Barão Geraldo),"Suíte para Locação  - Próximo Padaria Alemã

Casa com 12 dormitórios (todos suítes) para locações individuais;
Imóvel completamente mobiliado com sala de jantar, sala de estudos, cozinha mobiliada, lavanderia com maquina de uso comunitário e vagas de garagem

Dormitório mobiliado com: Guarda Roupas, Cama sem colchão, Mesa de estudos e Frigobar e banheiro com Box de Vidro

Rateio fixo: por pessoa por mês (inclui: IPTU, água, vigilância patrimonial, vaga de garagem, internet, energia elétrica, lavandeira de uso comunitário com máquina);

Visitas devem ser agendadas para este imóvel!",Kitnet em Campinas,1quarto,1suíte,1banheiro ,1vaga,16m²
341,R$ 850,R$ 1.075/mês,Jardim Santa Genebra II (Barão Geraldo),"Suíte para Locação  - Próximo Padaria Alemã

Casa com 12 dormitórios (todos suítes) para locações individuais;
Imóvel completamente mobiliado com sala de jantar, sala de estudos, cozinha mobiliada, lavanderia com maquina de uso comunitário e vagas de garagem

Dormitório mobiliado com: Guarda Roupas, Cama sem colchão, Mesa de estudos e Frigobar e banheiro com Box de Vidro

Rateio fixo: por pessoa por mês (inclui: IPTU, água, vigilância patrimonial, vaga de garagem, internet, energia elétrica, lavandeira de uso comunitário com máquina);",Kitnet em Campinas,1quarto,1suíte,1banheiro ,1vaga,21m²
342,R$ 900,R$ 1.125/mês,Jardim Santa Genebra II (Barão Geraldo),"Suíte para Locação  - Próximo Padaria Alemã

Casa com 12 dormitórios (todos suítes) para locações individuais;
Imóvel completamente mobiliado com sala de jantar, sala de estudos, cozinha mobiliada, lavanderia com maquina de uso comunitário e vagas de garagem

Dormitório mobiliado com: Guarda Roupas, Cama sem colchão, Mesa de estudos e Frigobar e banheiro com Box de Vidro

Rateio fixo: por pessoa por mês (inclui: IPTU, água, vigilância patrimonial, vaga de garagem, internet, energia elétrica, lavandeira de uso comunitário com máquina);",Kitnet em Campinas,1quarto,1suíte,1banheiro ,1vaga,18m²
343,R$ 2.200,"R$ 2.930,30/mês",Barão Geraldo,"Centro de Barão Geraldo - Região do Supermercado Pague Menos, Banco Itau; 

Sala comercial para locação nova!
De alto padrão e de muito bom gosto. 
Opção no 1º andar de um predio onde há outras 4 salas comerciais para locaçao. A Sala desta anuncio é frontal, tem 27 m² de área individual, com amplas janelas em 2 patamares (ventilada e iluminada). Preparada para ar condicionado, com todas as tomadas no padrão novo (em grande quantidade). 
No local, há uma pequena copa de uso coletivo, banheiros masculino e feminino, e um espaço para pequena recepção. (sem recepcionista). 
Condomínio: valor por mês, por sala, inclui: IPTU, energia elétrica,  água e esgoto e manutenção de áreas comuns.",Sala em Campinas,2banheiros,27m²,not found,not found,not found
344,R$ 1.300,"R$ 1.642,61/mês",Barão Geraldo,"Centro de Barão Geraldo - Região do Supermercado Pague Menos, Banco Itau; 

Sala comercial para locação nova!
De alto padrão e de muito bom gosto. 
Opção no 1º andar de um predio onde há outras 4 salas comerciais para locaçao. A Sala desta anuncio é frontal, tem 12 m² de área individual, com ampla janela (ventilada e iluminada). Preparada para ar condicionado, com todas as tomadas no padrão novo (em grande quantidade). 
No local, há uma pequena copa de uso coletivo, banheiros masculino e feminino, e um espaço para pequena recepção. (sem recepcionista). 
Condomínio: valor por mês, por sala, inclui: IPTU, energia elétrica,  água e esgoto e manutenção de áreas comuns.",Sala em Campinas,2banheiros,12m²,not found,not found,not found
345,R$ 1.300,"R$ 1.732,15/mês",Barão Geraldo,"Centro de Barão Geraldo - Região do Supermercado Pague Menos, Banco Itau; 

Sala comercial para locação nova!
De alto padrão e de muito bom gosto. 
Opção no 1º andar de um predio onde há outras 4 salas comerciais para locaçao. A Sala desta anuncio é frontal, tem 12 m² de área individual, com janela ampla (ventilada e iluminada). Preparada para ar condicionado, com todas as tomadas no padrão novo (em grande quantidade). 
No local, há uma pequena copa de uso coletivo, banheiros masculino e feminino, e um espaço para pequena recepção. (sem recepcionista). 
Condomínio: valor por mês, por sala, inclui: IPTU, energia elétrica,  água e esgoto e manutenção de áreas comuns.",Sala em Campinas,2banheiros,16m²,not found,not found,not found
346,R$ 1.500,R$ 1.770/mês,Jardim Santa Genebra II (Barão Geraldo),"Próximo ao terminal de Barão Geraldo.

Kitnet com divisória da cozinha para dormitório.
Mobiliada com geladeira, cooktop, micro-ondas, armários na cozinha, guarda roupa, ar condicionado, televisão e cama.
Banheiro com box de vidro.

Rateio inclui: internet, água, IPTU, gás, manutenções de áreas externas, lavanderia coletiva,
Energia individual locatário.
Vaga de garagem: locada a parte conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,23m²,not found,not found
347,R$ 1.300,R$ 1.570/mês,Jardim Santa Genebra II (Barão Geraldo),"Próximo ao terminal de Barão Geraldo.

Kitnet mobiliada com geladeira, cooktop, micro-ondas, armários na cozinha, guarda roupa, ar condicionado, televisão e cama.
Banheiro com box de vidro.

Rateio inclui: internet, água, IPTU, gás, manutenções de áreas externas, lavanderia coletiva,
Energia individual locatário.
Vaga de garagem: locada a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,18m²,not found,not found
348,R$ 10.500,R$ 12.100/mês,Barão Geraldo,"Excelente barracão comercial - Com possibilidade de fazer mezanino.
Possui  uma cozinha no local e 2 wc; sendo um para portadores de necessidades especiais. 

Pé direito alto com 6 metros, voltagem 110vts e 220vts, piso frio pintado.

Espaço todo reformado, pronto para loja, mini mercado, restaurante entre outros.

Estacionamento amplo ( mais de 500m²) para até 25 automóveis.

Localização Privilegiada (Avenida).",Barracão em Campinas,2banheiros,25vagas,211m²,not found,not found
349,R$ 1.900,R$ 1.990/mês,Cidade Universitária,"Cidade Universitária 100 metros Unicamp

Kitnet próximo Unicamp com 1 dormitório separado da cozinha;
Banheiro (espelho, box vidro); 
Mobiliado (geladeira, fogão, bancada estudos e refeição,
armários, exaustor, ar-condicionado, guarda-roupas).
Inclui: internet, gás, água, ronda patrimonial, jardim,
faxina, lavanderia com máquina de lavar roupas.
Garagem: locada a parte, conforme disponibilidade 
Energia elétrica: individual",Kitnet em Campinas,1quarto,1banheiro ,30m²,not found,not found
350,R$ 1.050,R$ 1.420/mês,Jardim Santa Genebra II (Barão Geraldo),"Descrição do imóvel;
Kit net mobiliada com;
Armário, geladeira. fogão, mesa de escritório, área de serviço nos fundos e a garagem na frente;
Condomínio incluso; água, luz e internet com 120 MB ( divide com o apto ao lado ).
Gás é individual;
Possui um tanque e local para colocar máquina de lavar
Quintal individual.",Kitnet em Campinas,1quarto,1banheiro ,22m²,not found,not found
351,R$ 1.050,R$ 1.420/mês,Jardim Santa Genebra II (Barão Geraldo),"Descrição do imóvel;
Kit net mobiliada com;
Armário, geladeira. fogão, mesa de escritório, área de serviço nos fundos e a garagem na frente;
Condomínio incluso; água, luz e internet com 120 MB ( divide com o apto ao lado ).
Gás é individual;
Possui um tanque e local para colocar máquina de lavar
Quintal individual.",Kitnet em Campinas,1quarto,1banheiro ,1vaga,22m²,not found
352,R$ 1.100,R$ 1.170/mês,Barão Geraldo,"Kitnet mobiliada no centro de Barão Geraldo (Perto da Praça do Coco - Restaurante Casa da Moqueca);

Térrea, mobiliada com geladeira, fogão, cama de solteiro, guarda roupas;
Pequeno quintal individual;
Lavanderia de uso coletivo com máquina.

Inclui no aluguel: água, gás, IPTU, internet.
Vaga de garagem cobrada à parte (confirmar disponibilidade).
Energia elétrica individual.",Kitnet em Campinas,1quarto,1banheiro ,18m²,not found,not found
353,R$ 780.000,"R$ 4.202,63/mês",Cidade Universitária,"Cidade Universitária - Barão Geraldo - Campinas SP

Localizado próximo a Unicamp. entre as avenidas Romeu Tórtima (1) e Atílio Martini (2)
Casa térrea de 3 dormitórios, todos com armários, 1 suíte e banheiro social;
Cozinha com armários e despensa; lavanderia coberta; banheiro e quarto de serviço;
Quintal com gramado",Casa em Campinas,3quartos,1suíte,3banheiros,4vagas,"155,71m²"
354,R$ 750,R$ 1.011/mês,Cidade Universitária,"Cidade Universitária 01 - 500 metros de distancia para Unicamp/Praça Paz.

Suite mobiliada para locação com cozinha comunitária, lavanderia de uso coletivo. Com opção de vaga de garagem. 
Dormitório Individual. 
Cobrança de rateio de água, IPTU, internet, gás, manutenção de áreas comuns (jardinagem e faxina).",Kitnet em Campinas,1quarto,1suíte,1banheiro ,20m²,not found
355,R$ 650,R$ 911/mês,Cidade Universitária,"Cidade Universitária 01

Quarto mobiliado com cama sem colchão, guarda roupas, frigobar e mesa de estudos, possui uma varanda individual 
Banheiro com gabinete, independente fora do quarto, 
Cozinha de uso coletivo, já mobiliada com geladeira, fogão, microondas
Lavanderia de uso coletivo.         


Rateio variável, por mês - inclui: IPTU, energia, água, internet, vaga de garagem.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,1vaga,20m²
356,R$ 650,R$ 911/mês,Cidade Universitária,"Cidade Universitária 01

Suite mobiliada próximo Unicamp com vaga de garagem.
Geladeira, cama, armário, mesa estudos.


Rateio/condomínio variável e inclui: IPTU, energia, gás, água, internet, vaga de garagem.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,1vaga,18m²
357,R$ 650,R$ 911/mês,Cidade Universitária,"Cidade Universitária 01

Suite mobiliada próximo Unicamp com vaga de garagem.
Geladeira, cama, armário, mesa estudos.

Rateio variável, em torno de R$ 311,50 mês - inclui: IPTU, energia, água, internet, vaga de garagem.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,20m²,not found
358,R$ 1.000,R$ 1.109/mês,Cidade Universitária,"Cidade Universitária I - Barão Geraldo - Campinas SP

Kitnet próxima ao mercado Dia na Avenida 2.
Recém construída, conta com fogão cooktop, frigobar
banheiro com box de vidro
Energia e água 50%
gás botijão individual",Kitnet em Campinas,1quarto,1banheiro ,18m²,not found,not found
359,R$ 680,R$ 715/mês,Cidade Universitária,"Cidade Universitária 01 - Próximo ao Colégio Rio BRanco

Suítes mobiliadas com frigobar, armário, cama soleiro sem colchão destinada apenas para locaçao para UNIVERSITÁRIOS. 

Cozinha de uso coletivo para as 9 unidades do local. 
Inclui no valor da locação IPTU, energia elétrica, internet, água; 

Lavanderia de uso coletivo com máquina.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,13m²,not found
360,R$ 750,"R$ 1.147,33/mês",Parque das Universidades,"Sala Comercial - Perto da PUC Campinas

Sala Comercial próximo da PUC-Campinas, Madre Theodora e Shopping Dom Pedro com 25 m², lavabo interno individual. 

Área Comum: Cozinha com geladeira, fogão e mesa para café.
01 vaga de garagem para funcionários e 8 vagas de garagem para visitantes, sistema da monitoramento de segurança 24 hrs. 

Condomínio inclui: Água, limpeza e manutenções das áreas comuns, e segurança
IPTU cobrado por sala comercial.",Sala em Campinas,1banheiro ,1vaga,25m²,not found,not found
361,R$ 2.400,"R$ 2.613,54/mês",Cidade Universitária,"Cidade Universitária 01
Casa em frente a Unicamp com 3 dormitórios, 2 banheiros, social, cozinha e sala juntas. 
Cozinha com gabinete na pia, em estilo americano.
Área de serviço.",Casa em Campinas,3quartos,2banheiros,2vagas,80m²,not found
362,R$ 2.300,"R$ 2.513,53/mês",Cidade Universitária,"Cidade Universitária 01 - 

Casa (sobrado) geminada em frente Unicamp - são 3 dormitórios, sala, cozinha e 1 banheiro.  
COm 1 vaga de garagem. 
Em fase final de reforma.",Casa em Campinas,3quartos,3suítes,1banheiro ,80m²,not found
363,R$ 820,R$ 1.045/mês,Jardim Santa Genebra II (Barão Geraldo),"Suíte para Locação  - Próximo Padaria Alemã

Casa com 12 dormitórios (todos suítes) para locações individuais;
Imóvel completamente mobiliado com sala de jantar, sala de estudos, cozinha mobiliada, lavanderia com maquina de uso comunitário e vagas de garagem

Dormitório mobiliado com: Guarda Roupas, Cama sem colchão, Mesa de estudos e Frigobar e banheiro com Box de Vidro

Rateio fixo: valor por pessoa por mês (inclui: IPTU, água, vigilância patrimonial, vaga de garagem, internet, energia elétrica, lavandeira de uso comunitário com máquina);",Kitnet em Campinas,1quarto,1suíte,1banheiro ,18m²,not found
364,R$ 2.590,R$ 3.015/mês,Cidade Universitária,"Loft 1 locação em frente a Unicamp - acabou de ser construído!
Imóvel com aproximados 58m², padrão de acabamento acima da média.
Pavimento inferior com cozinha em estilo americano com sala, lavanderia individual, banheiro social completo
Dormitório com banheiro no pavimento superior.
Imóvel muito bem iluminado e ventilado. Revestimentos PortoBello;
1 vaga de garagem.
Condominio valor por mes e inclui: vigilância patrimonial, internet  água e manutenção de áreas externas.
Energia, gás:  individuais;",Kitnet em Campinas,1quarto,1suíte,2banheiros,1vaga,58m²
365,R$ 1.400,"R$ 2.136,13/mês",Barão Geraldo,"Centro de Barão Geraldo - Edifício Cruzeiro

Sala de 56 m² na Avenida Albino Jose Barbosa de Oliveira, próxima ao terminal de ônibus.
Piso laminado, banheiro e copa.

1 vaga de garagem coberta",Sala em Campinas,1banheiro ,1vaga,"56,39m²",not found,not found
366,R$ 1.200,"R$ 1.954,13/mês",Barão Geraldo,"Centro de Barão Geraldo - Edifício Cruzeiro

Sala de 56 m² na Avenida Albino Jose Barbosa de Oliveira, próxima ao terminal de ônibus.
Piso cerâmica banheiro e copa.",Sala em Campinas,1banheiro ,"56,39m²",not found,not found,not found
367,R$ 1.600,R$ 2.350/mês,Barão Geraldo,"Centro de Barão Geraldo - Edifício Cruzeiro

Sala de 56 m² na Avenida Albino Jose Barbosa de Oliveira, próxima ao terminal de ônibus.
Sala se divide em 2 partes.

Piso laminado, banheiro, copa, o prédio possui elevador.

1 vaga de garagem coberta",Sala em Campinas,1banheiro ,"56,39m²",not found,not found,not found
368,R$ 1.000,R$ 1.245/mês,Cidade Universitária,"Cidade Universitária I - Barão Geraldo - Campinas - SP

Localizado próximo a Unicamp, lugar tranquilo com apenas 4 Kitnets.
Kitnet mobiliada com: fogão 4 bocas, geladeira, mesa de jantar, mesa de estudo, armário para despensa, Guarda roupas e cama.
Condomínio mensal  por morador inclui: energia elétrica, água, internet wi fi, gás, iptu.
1 Vaga de garagem",Kitnet em Campinas,1quarto,1banheiro ,1vaga,27m²,not found
369,R$ 1.000,R$ 1.245/mês,Cidade Universitária,"Cidade Universitária I - Barão Geraldo - Campinas - SP

Localizado próximo a Unicamp, lugar tranquilo com apenas 4 Kitnets.
Kitnet mobiliada com: fogão 4 bocas, geladeira, mesa de jantar, mesa de estudo, armário para despensa, Guarda roupas e cama.
Condomínio mensal  por morador inclui: energia elétrica, água, internet wi fi, gás, iptu.
1 Vaga de garagem",Kitnet em Campinas,1quarto,1banheiro ,1vaga,27m²,not found
370,R$ 1.000,R$ 1.245/mês,Cidade Universitária,"Cidade Universitária I - Barão Geraldo - Campinas - SP

Localizado próximo a Unicamp, lugar tranquilo com apenas 4 Kitnets.
Kitnet mobiliada com: fogão 4 bocas, geladeira, mesa de jantar, mesa de estudo, armário para despensa, Guarda roupas e cama.
Condomínio mensal  por morador inclui: energia elétrica, água, internet wi fi, gás, iptu.
1 Vaga de garagem",Kitnet em Campinas,1quarto,1banheiro ,1vaga,27m²,not found
371,R$ 1.950,"R$ 2.121,47/mês",Cidade Universitária,"Casa 2 dormitórios semi Mobiliada - Perto Posto Ipiranga - Cidade Universitária 01

Sobrado em frente da Unicamp - na rua do Posto Ipiranga da Av. 1  (Av. Dr. Romeu Tórtima)
100 metros da entrada do Ciclo Básico 01;
2 dormitórios com armários embutidos e ventilador de teto 
Sala de estar 02 ambientes
Cozinha com gabinete, geladeira e fogão novos!
Banheiro social.
Lavanderia individual, interna, com máquina lavar roupas de 13 kg. 
IPTU : fração 1/3 (um terço)
Energia elétrica e gás individuais;
Água: fração de 1/3 (um terço) - Imobiliária faz as divisões.",Casa em Campinas,2quartos,1banheiro ,1vaga,75m²,not found
372,R$ 1.300,R$ 1.620/mês,Barão Geraldo,"Cidade Universitária 01 - Próximo Colégio Rio Branco

Kitnet mobiliada com divisória da cozinha para dormitório.
Equipada com geladeira, fogão, gabinetes de cozinha, guarda roupas, cama solteiro sem colchão.
Inclui no valor do condomínio: água, IPTU, gás, manutenção de áreas comuns, internet, lavanderia de uso comunitário com maquina.
Energia elétrica: individual.
Vaga de garagem locada a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,32m²,not found,not found
